title,brand,category,price,rating,review_count
Thomson FA Series 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Digital Plus & Android 11,Thomson,Television,13999,4.3,21929
Infinix 80 cm (32 inch) HD Ready LED Smart Linux TV,Infinix,Television,8399,4.2,6343
Thomson Phoenix 2025 Edition 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV with Dolby Atmos 50 Watts Sound Output 2 Speakers AI Smooth Motion Rate HDR 10 Google Assistan,Thomson,Television,20999,4.3,6063
Foxsky 109 cm (43 inch) Full HD LED Smart Android TV,Foxsky,Television,12999,4.1,3508
realme TechLife 109 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 2026 Edition,realme TechLife,Television,23999,4.3,2523
realme TechLife 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV,realme TechLife,Television,31999,4.3,2523
"Foxsky 109 cm (43 inch) QLED Full HD Smart Android TV 2026 Edition with 2.1 CH Audio System Tuned by 30W Sun Voice India's Largest Speaker Manufacturer, Native 60Hz Refresh Rate",Foxsky,Television,13999,4.1,2113
"Foxsky 102 cm (40 inch) QLED Full HD Smart Android TV 2026 Edition with 2.1 CH Audio System Tuned by 30W Sun Voice India's Largest Speaker Manufacturer, Native 60Hz Refresh Rate",Foxsky,Television,11999,4.1,2113
KODAK Matrix 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV with | 50W Sound Output | 2 Speaker | 550 Nits Brightness | HDR 10 with WCG | Dolby Atmos | Dolby Digital Plus | AI PQ Chipset | AI Smooth Motion | Google Assistant | Bezel Less Design,KODAK,Television,27999,4.3,1265
MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,MarQ by Flipkart,Television,5299,4.2,965
